Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,6,Female,11,Right-Handed,152,23,152,1,Rail (Train/Tram/Subway),25,0.393,51,Dancing,670,782,390,100,837,910,23,Same length,25,69.85,Index finger,December,Spring,No,No,Pizza/Pasta,Water,Other,9.0,10.0,3,Yes - other,Internet chat or instant messaging,13,13,56,14,14,21,14,0,21,42,63,21,0,28,Some,Graduate degree,Pop,Super strength,Healthy,Relative,Health
USA,NY,2011,12,Male,17,Right-Handed,182,26,,1,Car,3,0.391,45,Other,500,300,100,,800,800,25,Right foot,87,87,Same length,July,Summer,No,No,Desserts,Water,Mathematics and statistics,7.0,12.0,4,Yes - broadband connection,Text messaging,20,20,41660,,,,,,,,,,,,,,,,,,
USA,NY,2022,12,Female,17,Right-Handed,176,28,73,2,Rail (Train/Tram/Subway),40,2,4,Cycling,75,80,65,70,76,100,27,Right foot,80,70,Index finger,July,Summer,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,6.0,8.0,4,Yes - other,Cell phone,50,76,5,6,7,5,8,5,6,8,6,3,2,5,Some,Graduate degree,Pop,Freeze time,Rich,Business person,Education/Youth development
USA,NY,2017,11,Female,17,Right-Handed,169,26.5,174,2,Rail (Train/Tram/Subway),50,0.318,53,Soccer,1000,600,300,300,900,950,25,Right foot,7.4,8,Ring finger,March,Spring,Yes,No,Desserts,Tea,History,6.0,10.0,2,Yes - other,Cell phone,39,40,6,3,2,5,0,1,25,3,30,5,0,2,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Politician,Environment
USA,NY,2019,7,Male,12,Right-Handed,150,25,139,1,Car,10,0.353,43,Football (American),1000,1000,1000,1000,500,1000,25,Same length,4.5,5,Same length,May,Winter,Yes,No,Desserts,Water,English,10.0,5.0,5,,Text messaging,0,0,0,0,1,7,6,10,12,1,5,9,,,,,,,,,
USA,NY,2023,10,Female,15,Right-Handed,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2023,12,Male,17,Right-Handed,178,19,180,1,Bus,40,0.27,40,Football (American),600,700,600,800,1000,1000,19,Same length,241,95.25,Index finger,July,Summer,Yes,No,Pizza/Pasta,Water,Social studies,6.0,10.0,5,Yes - broadband connection,Internet chat or instant messaging,50,50,20,40,5,5,1,20,20,10,40,10,15,1,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Musician or singer,Education/Youth development
USA,NY,2022,12,Female,17,Left-Handed,152,22.5,155,1,Rail (Train/Tram/Subway),50,0.252,38,Walking/Hiking,1000,800,600,600,800,800,21.25,Right foot,70,72,Ring finger,November,Winter,Yes,No,Poultry,Water,Science,6.5,8.0,3,Yes - broadband connection,Text messaging,27,26,2,,,,,,,,,,,,,,,,,,
USA,NY,2019,9,Female,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2012,6,Female,12,Right-Handed,153,22,158,1,Walk,30,0.373,30,Skateboarding/Rollerblading,642,717,738,679,225,91,22,Same length,84,82,Index finger,October,Summer,Yes,No,Fruit,Water,Music,9.0,9.0,5,Yes - other,In person,0,0,50,0,70,80,90,65,65,45,65,30,0,50,Some,Graduate degree,Rock and roll,Telepathy,Healthy,Relative,International aid
USA,NY,2023,12,Male,17,Right-Handed,168,24.5,176,2,Bus,30-40,0.31,40,Baseball/Softball,599,620,1000,1000,1000,1000,24.5,Same length,7.5,7.5,Same length,August,Summer,Yes,No,Meat,Water,Computers and technology,6.5,11.0,2,Yes - broadband connection,In person,200+,200+,6,3,2,2,1,4,2,6,11,1,0,1,Some,Graduate degree,Rap/Hip hop,Super strength,Famous,,"Wildlife, animals"
USA,NY,2020,12,Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2011,5,Male,10,Right-Handed,137,23,140,1,Bus,25,0.226,54,Basketball,43,128,0,,257,508,23,Same length,80,70,Index finger,April,Summer,No,No,Meat,Sports drink,Physical education,8.0,9.0,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,1,10,6,0,10,48,4,0,20,1,3,3,0,Very little,High school,Pop,Invisibility,Famous,Sports person,Health
USA,NY,2016,12,Female,17,Right-Handed,172.7,24,165,1,Car,15,3,,Swimming,900,900,900,900,800,800,167,Left foot,75,72,Ring finger,December,Fall,No,Yes,Soups,Water,Music,5.0,7.0,5,Yes - broadband connection,Text messaging,10,10,1,0,25,0,0,0,2,1,3,3,10,0,Some,Graduate degree,Other,Fly,Healthy,Friend,Environment
USA,NY,2020,6,Female,11,Left-Handed,140,21,36,1,Skateboard/Scooter/Rollerblade,15,0.34,70,Soccer,1000,904,930,695,96,102,7.8,Right foot,74,85,Ring finger,July,Summer,No,Yes,Fruit,Water,Physical education,8.0,11.0,5,Yes - other,Text messaging,9,859,0,2,55,14,4,7,8,5,54,1,0,1,A lot,Other,Pop,Freeze time,Happy,Friend,Environment
USA,NY,2016,11,Female,16,Right-Handed,170,23,172,1,Car,10,,,Soccer,800,900,700,700,800,800,23,Same length,78,79,Ring finger,November,Spring,No,No,Pizza/Pasta,Coffee,Physical education,6.0,10.0,3,Yes - other,Text messaging,16,67,4,0,7,4,12,0,3,1,2,4,0,4,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Health
USA,NY,2021,11,Female,16,Left-Handed,160,25,157,3,Car,25,0.383,33,Dancing,1000,900,500,500,500,800,25,Same length,86,86,Same length,February,Winter,No,No,Soups,Water,Science,8.0,10.0,4,Yes - broadband connection,In person,6,4,4,1,25,5,3,0,2,1,20,8,0,1,Some,Other,Pop,Fly,Healthy,Relative,Environment
